ID_PODA,FECHA DE ATENCION ,COLONIA ,CALLE,NUMERO ,FOLIO ,ESPECIE,ACLAREO PZA,DESCHUPONEO PZA,ELEVACION DE COPA PZA,LIB  DE CAMARAS PZA,LIB  DE FACHADA PZA,LIB  DE LINEAS ELECTRICAS Y AEREAS PZA,LIB  DE LUMINARIAS PZA,VELA,FACHADA,POSTE,LIB  DE SEMAFOROS PZA,LIB  DE SENALAMIENTOS PZA,LIMPIEZA DE COPA PZA,PODA DE FORMACION RESTAURACION DE COPA PZA,PODA ESTETICA O TOPIARIA PZA,PODA DE MUERDAGO PZA,PODA DE HENO MOTITA PZA,REDUCCIÓN DE COPA PZA,TOTAL,LATITUD ,LONGITUD ,FUENTE DE INFORMACION 
243,25/09/2001,BOSQUE DE LAS LOMAS,BOSQUE DE SAUCES,410,SIN FOLIO,PODA DE 2 FRESNOS,,,2,,,,,,,,,,,,,,,,2,19.40827471,-99.24254607,JUD JARDINERIA
244,25/09/2002,BOSQUE DE LAS LOMAS,BOSQUE DE SAUCES,409,SIN FOLIO,PODA DE 2 FRESNOS,,,2,,,,,,,,,,,,,,,,2,19.40819694,-99.24221953,JUD JARDINERIA
245,25/09/2003,BOSQUE DE LAS LOMAS,BOSQUE DE MIMOSAS,1,SIN FOLIO,PODA DE 1 FRESNO,,,1,,,,,,,,,,,,,,,,1,19.40836137,-99.24199955,JUD JARDINERIA
246,25/09/2004,BOSQUE DE LAS LOMAS,BOSQUE DE SAUCES,AUN LADO DEL 414,SIN FOLIO,PODA DE 2 FRESNOS,,,,,,,1,,,,,,1,,,,,,2,19.40839623,-99.24242085,JUD JARDINERIA
247,25/09/2005,BOSQUE DE LAS LOMAS,BOSQUE DE CHOPOS,ESQUINA,SIN FOLIO,PODA DE 1 CASUARINA Y RETIRO DE DESECHO VEGETAL,,,,,,,1,,,,,,,,,,,,1,19.40651035,-99.24282282,JUD JARDINERIA
248,25/09/2006,BOSQUES DE LAS LOMAS,BOSQUE DE SAUCES,467,8561,PODA DE 5 FRESNOS EN PROGRAMA OLA DE SERVICIOS,,,3,,,,,,,,,,2,,,,,,5,19.40964406,-99.2415327,JUD JARDINERIA
249,25/09/2007,SAN DIEGO OCOYOACAC,CANITO,74,16707,PODA DE 1 LAUREL,,,1,,,,,,,,,,,,,,,,1,19.4634058,-99.19224825,JUD JARDINERIA
250,25/09/2008,POPOTLA,MAR MARMARA,434,18973,PODA DE 2 HULES Y 1 JACARADA,,,1,,,,,,,,,,2,,,,,,3,19.45695106,-99.1749887,EMPRESA KAAB
251,25/09/2009,BOSQUES DE LAS LOMAS,BOSQUE DE SAUCES,454,19349,PODA DE 1 FRESNO EN PROGRAMA OLA DE SERVICIOS,,,1,,,,,,,,,,,,,,,,1,19.40952296,-99.24203233,JUD JARDINERIA
252,25/09/2010,POPOTLA,MAR CASPIO,12,19627,PODA DE 1 FRESNO,,,,,,,,,,,,,1,,,,,,1,19.45782754,-99.17479602,EMPRESA KAAB
253,25/09/2011,POPOTLA,MAR MARMARA,393,19927,PODA DE 1 FRESNO,,,,,,,,,,,,,1,,,,,,1,19.45767815,-99.17671228,EMPRESA KAAB
254,25/09/2012,BOSQUE DE LAS LOMAS,BOSQUE DE ABETOS,101,32158,PODA DE 2 PIRUL,,,2,,,,,,,,,,,,,,,,2,19.40813778,-99.23926295,JUD JARDINERIA
255,25/09/2013,SAN DIEGO OCOYOACAC,GOLFO DE TEHUANTEPEC,ESQUINA,SIN FOLIO,PODA DE 2 ARBOLES NO ESPECIFICA,,,2,,,,,,,,,,,,,,,,2,19.46316302,-99.19208731,JUD JARDINERIA
